;statement;issue;person;channel;truth
16802;"""There is absolutely no reason why Wisconsin should be facing a worker shortage to the level we are when there are 123,000 more able-bodied childless adults on BadgerCare since the pandemic.""";workers;Rebecca Kleefisch; in Twitter;barely-true
16803;“Virginia women are paid 80 cents for every dollar paid to Virginia men.”;workers;Tim Kaine; in a tweet.;true
16804;"“Greg Casar passed paid sick leave.""";workers;Greg Casar; in an ad;half-true
16805;"Says Kellogg’s tweeted, “Oh, so you think it's cool when workers strike jobs? Now replace 'jobs' with 'women.' Still think it's 'cool'?""";workers;Facebook posts; in a Facebook post;false
16806;"“If you’re a low-wage worker and you’re single and don’t have children, we’re literally taxing you into poverty.""";workers;Gwen Moore; in TV interview;mostly-true
16807;“Wages have gone up higher, faster than inflation.”;workers;Joe Biden; in a press conference in Glasgow;barely-true
16808;“The Canadian government threatens to fire any government employee who uses ‘Let's Go Brandon’ in communications.”;workers;Facebook posts; in a Facebook post;pants-fire
16809;“President Biden has created more jobs in his first 7 months than any POTUS in history.”;workers;Gwen Moore; in Twitter;half-true
16810;“We are not having replacement birth rates. We have had more people leaving the state than coming in over the last 30 years.”;workers;Kurt Bauer; in TV interview;half-true
16811;“It’s been over 50 years since minimum (wage) and inflation parted ways, then over a decade since the federal minimum went up at all.”;workers;Mandela Barnes; in Twitter;true
16812;“We have a record 9.3 million job openings in the U.S.”;workers;Glenn Grothman; in Twitter;true
16813;“Before the pandemic, just over 40,000 were on continuing UI claims. Now, there are well over 100,000 on state or federal UI benefits.”;workers;Mark Born; in Twitter;true
16814;“Since 1978, CEO compensation rose over 1,000% and only 11.9% for average workers.”;workers;Mandela Barnes; in Twitter;true
16815;“Very few … if any” states have a minimum wage of $7.25 an hour.;workers;Joe Manchin;" in remarks on ABC's ""This Week""";false
16816;"""When I became governor, we banned sanctuary cities and we also did E-Verify.""";workers;Ron DeSantis; in in an interview on Fox News;mostly-true
16817;“We have reached our goal to clear the backlog of (unemployment) claims.”;workers;Amy Pechacek; in News release;half-true
16818;“If you're making less than $15 an hour, you're living below the poverty wage.”;workers;Joe Biden; in an interview on CBS;half-true
16819;A $15-per-hour minimum wage would raise the price of a Taco Bell burrito to $38.;workers;Jordan Rachel; in a tweet;false
16820;"Says President Donald Trump ""thinks that $15 an hour minimum wage is too much for essential workers.""";workers;Joe Biden; in a speech in Dallas, Pa.;half-true
16821;“The majority of minimum wage workers...are mothers.”;workers;Abigail Spanberger; in a debate.;false
16822;Nick Freitas “voted to let businesses discriminate and fire expecting mothers for no other reason but their pregnancy. ”;workers;United Association’s Union Plumbers and Pipefitters Vote! PAC; in a TV ad.;mostly-true
16823;"“PPP on average probably provided a grant of around $11,000 per employee.""";workers;Ron Johnson; in an interview;mostly-true
16824;“OSHA says masks don't work” to reduce COVID-19 transmission “and violate OSHA oxygen levels.”;workers;Facebook posts; in a Facebook post;false
16825;“Immigrants make up a majority of essential workers in places like New York City.”;workers;Kirsten Gillibrand; in a tweet;mostly-true
16826;Congressional candidate Chris Jacobs “voted against paid leave for COVID-19.”;workers;Nate McMurray; in a tweet;mostly-true
16827;“Until this week, they [OSHA] weren’t even enforcing these guidelines [for coronavirus]. Still today, OSHA is not specifying which rules employees must follow or how to keep their workers safe and healthy.”;workers;Joe Biden; in comments at a virtual town hall meeting;true
16828;Before COVID-19, “Iowa had one of the lowest unemployment rates in the country, and many employers were scrambling to find qualified employees to fill their job openings.”;workers;Jack Whitver; in an email newsletter;true
16829;"Shows a waitress saying, ""I lost my job. But I'll sleep better knowing” that the coronavirus relief bill included funding for the Kennedy Center, refugee resettlement, PBS, and congressional salaries: “Thanks, Democrats”";workers;Facebook posts; in social media;barely-true
16830;“All schools in Canada are closed for the rest of the school year, each family will receive $950 every two weeks for the next 15 weeks, banks were notif(ied) to suspend mortgage payments for at least 6 months, and student loans deferred.”;workers;Facebook posts; in a Facebook post;half-true
16831;Says “Senator Joe Manchin hit (an) all time low saying seniors and the disabled did not need the relief package $1000 on Fox News.”;workers;Facebook posts; in on social media;half-true
16832;A post comparing two construction workers — “Joe legal” and “Jose illegal” — says “Jose” pays no taxes yet gets free medical care, food stamps, welfare, and 'head of the class' priority for his children in applying for college.;workers;Facebook posts; in posts on the Internet;false
16833;“In Boone County (Missouri) with a 1.7% unemployment rate, we can’t find enough people, we can’t fill all the job openings.”;workers;Cheri Toalson Reisch; in a House Special Committee hearing on Criminal Justice;mostly-true
16834;"Says Bernie Sanders would “go beyond reform and reorder the economy in ways most Democrats — let alone most Americans — don’t support.""";workers;Pete Buttigieg; in a speech;barely-true
16835;“Very close to 160 million people are now working in the United States. Nobody's ever even come close to that number.”;workers;Donald Trump; in a public forum;mostly-true
16836;“We have an America where … hard-working families have flat wages.”;workers;Elizabeth Warren; in a CNN town hall;false
16837;"""In West Virginia, we have 20,000 jobs in which we don’t have skilled workers.""";workers;E. Gordon Gee; in a speech;half-true
16838;"""In Texas, Latinas make less than $0.45 for every dollar a man makes. That makes us 49th in the nation.""";workers;Lizzie Pannill Fletcher; in a tweet;mostly-true
16839;"Says Nike pays factory workers, 80% of whom are women, ""20 cents an hour"" and has them work ""70 to 80 hours a week.""";workers;Facebook posts; in a Facebook post;half-true
16840;"""When the Senate was debating middle-class affordability for child care,"" then-Sen. Joe Biden ""voted against it, the only vote, but what he wrote (in) an op-ed was that he believed that women working outside the home would, quote, ‘create the deterioration of family.’ He also said that women who were working outside the home were, quote, ‘avoiding responsibility.’""";workers;Kirsten Gillibrand; in the Detroit debate;half-true
16841;"""Studies show at the minimum wage, you can’t rent a two-bedroom apartment anywhere in the United States...a modest, two-bedroom apartment.""";workers;Bobby  Scott; in a hearing;true
16842;"""42 percent of (Walmart’s) associates are black.""";workers;Bernie Sanders; in an op-ed in the Washington Post;false
16843;"The Trump administration has denied ""4.2 million American workers overtime.""";workers;Florida Democratic Party; in a press release;half-true
16844;"""In America today, women on average are paid 80 cents on the dollar of what men are paid for the same work.""";workers;Kamala Harris;" in an interview on CBS's ""Late Show with Stephen Colbert""";barely-true
16845;"""99.4% of businesses in Wisconsin are small businesses,"" and they employ ""nearly half of our workforce.""";workers;Ron Johnson; in a tweet;true
